The terms and frequencies are :
['rt', 0.05652759084791386]
['like', 0.0070659488559892325]
['love', 0.004542395693135935]
['get', 0.0035329744279946162]
['need', 0.00319650067294751]
['see', 0.0028600269179004036]
['u', 0.0028600269179004036]
['people', 0.0026917900403768506]
['2', 0.0026917900403768506]
['keep', 0.0026917900403768506]
['going', 0.0023553162853297443]
['day', 0.0023553162853297443]
['one', 0.002187079407806191]
['want', 0.002018842530282638]
['got', 0.002018842530282638]
['shit', 0.002018842530282638]
['know', 0.002018842530282638]
['come', 0.0018506056527590848]
['new', 0.0018506056527590848]
['time', 0.0018506056527590848]
['life', 0.0018506056527590848]
['someone', 0.0016823687752355316]
['take', 0.0016823687752355316]
['never', 0.0016823687752355316]
['happy', 0.0016823687752355316]
['go', 0.0015141318977119785]
['good', 0.0015141318977119785]
['show', 0.0015141318977119785]
['always', 0.0015141318977119785]
['stop', 0.0015141318977119785]
['video', 0.0013458950201884253]
['mind', 0.0013458950201884253]
['free', 0.0013458950201884253]
['start', 0.0013458950201884253]
['2016', 0.0013458950201884253]
['last', 0.0013458950201884253]
['lost', 0.0013458950201884253]
['please', 0.0013458950201884253]
['wait', 0.0013458950201884253]
['cause', 0.0013458950201884253]
['great', 0.0013458950201884253]
['things', 0.0011776581426648722]
['right', 0.0011776581426648722]
['make', 0.0011776581426648722]
['could', 0.0011776581426648722]
['look', 0.0011776581426648722]
['days', 0.0011776581426648722]
['lot', 0.0011776581426648722]
['check', 0.0011776581426648722]
['twitter', 0.0011776581426648722]
['think', 0.0011776581426648722]
['ever', 0.0011776581426648722]
['first', 0.0011776581426648722]
['work', 0.0011776581426648722]
['say', 0.0011776581426648722]
['live', 0.0011776581426648722]
['till', 0.0011776581426648722]
['getting', 0.0011776581426648722]
['beautiful', 0.0011776581426648722]
['girl', 0.001009421265141319]
['remember', 0.001009421265141319]
['trying', 0.001009421265141319]
['ones', 0.001009421265141319]
['feels', 0.001009421265141319]
['slfl', 0.001009421265141319]
['way', 0.001009421265141319]
['thanks', 0.001009421265141319]
['back', 0.001009421265141319]
['5sos', 0.001009421265141319]
['harry', 0.001009421265141319]
['girls', 0.001009421265141319]
['130', 0.001009421265141319]
['hope', 0.001009421265141319]
['us', 0.001009421265141319]
['real', 0.001009421265141319]
['katy', 0.001009421265141319]
['perry', 0.001009421265141319]
['tour', 0.001009421265141319]
['every', 0.001009421265141319]
['via', 0.0008411843876177658]
['heart', 0.0008411843876177658]
['end', 0.0008411843876177658]
['seen', 0.0008411843876177658]
['photo', 0.0008411843876177658]
['everyone', 0.0008411843876177658]
['really', 0.0008411843876177658]
['another', 0.0008411843876177658]
['nice', 0.0008411843876177658]
['goes', 0.0008411843876177658]
['still', 0.0008411843876177658]
['night', 0.0008411843876177658]
['something', 0.0008411843876177658]
['guys', 0.0008411843876177658]
['loved', 0.0008411843876177658]
['food', 0.0008411843876177658]
['today', 0.0008411843876177658]
['much', 0.0008411843876177658]
['sunday', 0.0008411843876177658]
['local', 0.0008411843876177658]
['hate', 0.0008411843876177658]
['girlfriend', 0.0008411843876177658]
['even', 0.0008411843876177658]
['follow', 0.0008411843876177658]
['would', 0.0008411843876177658]
['put', 0.0008411843876177658]
['happiness', 0.0008411843876177658]
['watch', 0.0008411843876177658]
['well', 0.0008411843876177658]
['morning', 0.0008411843876177658]
['season', 0.0008411843876177658]
['wanna', 0.0008411843876177658]
['give', 0.0008411843876177658]
['happens', 0.0008411843876177658]
['top', 0.0006729475100942127]
['best', 0.0006729475100942127]
['fam', 0.0006729475100942127]
['cry', 0.0006729475100942127]
['gotta', 0.0006729475100942127]
['lmao', 0.0006729475100942127]
['used', 0.0006729475100942127]
['liked', 0.0006729475100942127]
['meant', 0.0006729475100942127]
['wanted', 0.0006729475100942127]
['world', 0.0006729475100942127]
['hot', 0.0006729475100942127]
['glass', 0.0006729475100942127]
['talk', 0.0006729475100942127]
['ask', 0.0006729475100942127]
['fuck', 0.0006729475100942127]
['rashford', 0.0006729475100942127]
['tell', 0.0006729475100942127]
['human', 0.0006729475100942127]
['two', 0.0006729475100942127]
['towson', 0.0006729475100942127]
['mom', 0.0006729475100942127]
['white', 0.0006729475100942127]
['together', 0.0006729475100942127]
['lol', 0.0006729475100942127]
['pray', 0.0006729475100942127]
['kane', 0.0006729475100942127]
['fall', 0.0006729475100942127]
['bc', 0.0006729475100942127]
['everything', 0.0006729475100942127]
['friends', 0.0006729475100942127]
['around', 0.0006729475100942127]
['sometimes', 0.0006729475100942127]
['blue', 0.0006729475100942127]
['im', 0.0006729475100942127]
['picture', 0.0006729475100942127]
['25', 0.0006729475100942127]
['many', 0.0006729475100942127]
['meet', 0.0006729475100942127]
['since', 0.0006729475100942127]
['comforting', 0.0006729475100942127]
['4', 0.0006729475100942127]
['week', 0.0006729475100942127]
['fly', 0.0006729475100942127]
['seconds', 0.0006729475100942127]
['found', 0.0006729475100942127]
['alive', 0.0006729475100942127]
['sculptures', 0.0006729475100942127]
['super', 0.0005047106325706595]
['10', 0.0005047106325706595]
['goals', 0.0005047106325706595]
['head', 0.0005047106325706595]
['favorite', 0.0005047106325706595]
['person', 0.0005047106325706595]
['men', 0.0005047106325706595]
['ass', 0.0005047106325706595]
['download', 0.0005047106325706595]
['years', 0.0005047106325706595]
['laptop', 0.0005047106325706595]
['moment', 0.0005047106325706595]
['city', 0.0005047106325706595]
['money', 0.0005047106325706595]
['celebrating', 0.0005047106325706595]
['thought', 0.0005047106325706595]
['transponder', 0.0005047106325706595]
['looks', 0.0005047106325706595]
['including', 0.0005047106325706595]
['let', 0.0005047106325706595]
['michael', 0.0005047106325706595]
['birthday', 0.0005047106325706595]
['moments', 0.0005047106325706595]
['posted', 0.0005047106325706595]
['making', 0.0005047106325706595]
['long', 0.0005047106325706595]
['year', 0.0005047106325706595]
['bournemouth', 0.0005047106325706595]
['um', 0.0005047106325706595]
['spam', 0.0005047106325706595]
['next', 0.0005047106325706595]
['selfie', 0.0005047106325706595]
['rainbow', 0.0005047106325706595]
['forget', 0.0005047106325706595]
['spring', 0.0005047106325706595]
['door', 0.0005047106325706595]
['isis', 0.0005047106325706595]
['gayle', 0.0005047106325706595]
['bid', 0.0005047106325706595]
['man', 0.0005047106325706595]
['literally', 0.0005047106325706595]
['access', 0.0005047106325706595]
['eat', 0.0005047106325706595]
['singing', 0.0005047106325706595]
['de', 0.0005047106325706595]
['jewelry', 0.0005047106325706595]
['friend', 0.0005047106325706595]
['candidate', 0.0005047106325706595]
['united', 0.0005047106325706595]
['hello', 0.0005047106325706595]
['calm', 0.0005047106325706595]
['following', 0.0005047106325706595]
['might', 0.0005047106325706595]
['justin', 0.0005047106325706595]
['facebook', 0.0005047106325706595]
['mood', 0.0005047106325706595]
['thank', 0.0005047106325706595]
['better', 0.0005047106325706595]
['home', 0.0005047106325706595]
['enough', 0.0005047106325706595]
['idiot', 0.0005047106325706595]
['join', 0.0005047106325706595]
['chat', 0.0005047106325706595]
['wake', 0.0005047106325706595]
['support', 0.0005047106325706595]
['stay', 0.0005047106325706595]
['pressed', 0.0005047106325706595]
['goal', 0.0005047106325706595]
['hard', 0.0005047106325706595]
['100', 0.0005047106325706595]
['targeting', 0.0005047106325706595]
['makes', 0.0005047106325706595]
['looking', 0.0005047106325706595]
['point', 0.0005047106325706595]
['christian', 0.0005047106325706595]
['lovely', 0.0005047106325706595]
['yes', 0.0005047106325706595]
['ways', 0.0005047106325706595]
['find', 0.0005047106325706595]
['says', 0.0005047106325706595]
['starting', 0.0005047106325706595]
['w', 0.00033647375504710633]
['nigga', 0.00033647375504710633]
['high', 0.00033647375504710633]
['seat', 0.00033647375504710633]
['done', 0.00033647375504710633]
['natural', 0.00033647375504710633]
['old', 0.00033647375504710633]
['change', 0.00033647375504710633]
['away', 0.00033647375504710633]
['piece', 0.00033647375504710633]
['brother', 0.00033647375504710633]
['body', 0.00033647375504710633]
['reaction', 0.00033647375504710633]
['funny', 0.00033647375504710633]
['pic', 0.00033647375504710633]
['playing', 0.00033647375504710633]
['ice', 0.00033647375504710633]
['seem', 0.00033647375504710633]
['fucking', 0.00033647375504710633]
['true', 0.00033647375504710633]
['try', 0.00033647375504710633]
['house', 0.00033647375504710633]
['weather', 0.00033647375504710633]
['41', 0.00033647375504710633]
['app', 0.00033647375504710633]
['played', 0.00033647375504710633]
['las', 0.00033647375504710633]
['lead', 0.00033647375504710633]
['rhumba', 0.00033647375504710633]
['four', 0.00033647375504710633]
['team', 0.00033647375504710633]
['score', 0.00033647375504710633]
['portable', 0.00033647375504710633]
['called', 0.00033647375504710633]
['movie', 0.00033647375504710633]
['1', 0.00033647375504710633]
['allah', 0.00033647375504710633]
['followed', 0.00033647375504710633]
['android', 0.00033647375504710633]
['inside', 0.00033647375504710633]
['basically', 0.00033647375504710633]
['yeah', 0.00033647375504710633]
['3', 0.00033647375504710633]
['mesh', 0.00033647375504710633]
['saw', 0.00033647375504710633]
['5', 0.00033647375504710633]
['30', 0.00033647375504710633]
['stevie', 0.00033647375504710633]
['pl', 0.00033647375504710633]
['moonstone', 0.00033647375504710633]
['women', 0.00033647375504710633]
['hurt', 0.00033647375504710633]
['50cts', 0.00033647375504710633]
['idk', 0.00033647375504710633]
['march', 0.00033647375504710633]
['style', 0.00033647375504710633]
['ok', 0.00033647375504710633]
['save', 0.00033647375504710633]
['smith', 0.00033647375504710633]
['age', 0.00033647375504710633]
['field', 0.00033647375504710633]
['tweets', 0.00033647375504710633]
['made', 0.00033647375504710633]
['least', 0.00033647375504710633]
['colored', 0.00033647375504710633]
['recent', 0.00033647375504710633]
['trip', 0.00033647375504710633]
['guess', 0.00033647375504710633]
['evolution', 0.00033647375504710633]
['watching', 0.00033647375504710633]
['promise', 0.00033647375504710633]
['pressure', 0.00033647375504710633]
['realizing', 0.00033647375504710633]
['sweat', 0.00033647375504710633]
['judge', 0.00033647375504710633]
['nickname', 0.00033647375504710633]
['debate', 0.00033647375504710633]
['worry', 0.00033647375504710633]
['account', 0.00033647375504710633]
['laying', 0.00033647375504710633]
['fans', 0.00033647375504710633]
['beat', 0.00033647375504710633]
['running', 0.00033647375504710633]
['captain', 0.00033647375504710633]
['phase', 0.00033647375504710633]
['big', 0.00033647375504710633]
['honda', 0.00033647375504710633]
['17', 0.00033647375504710633]
['fluffy', 0.00033647375504710633]
['waste', 0.00033647375504710633]
['flop', 0.00033647375504710633]
['dont', 0.00033647375504710633]
['potato', 0.00033647375504710633]
['guy', 0.00033647375504710633]
['media', 0.00033647375504710633]
['bush', 0.00033647375504710633]
['v', 0.00033647375504710633]
['break', 0.00033647375504710633]
['music', 0.00033647375504710633]
['black', 0.00033647375504710633]
['album', 0.00033647375504710633]
['went', 0.00033647375504710633]
['rough', 0.00033647375504710633]
['answer', 0.00033647375504710633]
['walk', 0.00033647375504710633]
['inch', 0.00033647375504710633]
['lay', 0.00033647375504710633]
['x', 0.00033647375504710633]
['player', 0.00033647375504710633]
['tips', 0.00033647375504710633]
['burger', 0.00033647375504710633]
['seasons', 0.00033647375504710633]
['vacation', 0.00033647375504710633]
['special', 0.00033647375504710633]
['little', 0.00033647375504710633]
['updates', 0.00033647375504710633]
['group', 0.00033647375504710633]
['aka', 0.00033647375504710633]
['bleed', 0.00033647375504710633]
['started', 0.00033647375504710633]
['help', 0.00033647375504710633]
['crazy', 0.00033647375504710633]
['matter', 0.00033647375504710633]
['visit', 0.00033647375504710633]
['puppy', 0.00033647375504710633]
['updated', 0.00033647375504710633]
['move', 0.00033647375504710633]
['known', 0.00033647375504710633]
['handsome', 0.00033647375504710633]
['chances', 0.00033647375504710633]
['eriksen', 0.00033647375504710633]
['prom', 0.00033647375504710633]
['faces', 0.00033647375504710633]
['asking', 0.00033647375504710633]
['fred', 0.00033647375504710633]
['serious', 0.00033647375504710633]
['almost', 0.00033647375504710633]
['air', 0.00033647375504710633]
['blood', 0.00033647375504710633]
['separate', 0.00033647375504710633]
['words', 0.00033647375504710633]
['san', 0.00033647375504710633]
['stunning', 0.00033647375504710633]
['reese', 0.00033647375504710633]
['reasons', 0.00033647375504710633]
['already', 0.00033647375504710633]
['denied', 0.00033647375504710633]
['charcoal', 0.00033647375504710633]
['story', 0.00033647375504710633]
['sure', 0.00033647375504710633]
['bye', 0.00033647375504710633]
['different', 0.00033647375504710633]
['bad', 0.00033647375504710633]
['priceless', 0.00033647375504710633]
['wow', 0.00033647375504710633]
['annoyed', 0.00033647375504710633]
['han', 0.00033647375504710633]
['sir', 0.00033647375504710633]
['snapchat', 0.00033647375504710633]
['reality', 0.00033647375504710633]
['windows', 0.00033647375504710633]
['positive', 0.00033647375504710633]
['boys', 0.00033647375504710633]
['feeling', 0.00033647375504710633]
['coming', 0.00033647375504710633]
['sets', 0.00033647375504710633]
['without', 0.00033647375504710633]
['kids', 0.00033647375504710633]
['solo', 0.00033647375504710633]
['160320', 0.00033647375504710633]
['thinking', 0.00033647375504710633]
['job', 0.00033647375504710633]
['yet', 0.00033647375504710633]
['hotel', 0.00033647375504710633]
['kelly', 0.00033647375504710633]
['supporting', 0.00033647375504710633]
['chill', 0.00033647375504710633]
['girlfriends', 0.00033647375504710633]
['thing', 0.00033647375504710633]
['driving', 0.00033647375504710633]
['happened', 0.00033647375504710633]
['spurs', 0.00033647375504710633]
['scores', 0.00033647375504710633]
['andre', 0.00033647375504710633]
['fell', 0.00033647375504710633]
['dead', 0.00033647375504710633]
['artur', 0.00033647375504710633]
['catch', 0.00033647375504710633]
['passenger', 0.00033647375504710633]
['retweet', 0.00033647375504710633]
['outside', 0.00033647375504710633]
['missing', 0.00033647375504710633]
['instead', 0.00033647375504710633]
['using', 0.00033647375504710633]
['feelings', 0.00033647375504710633]
['part', 0.00033647375504710633]
['later', 0.00033647375504710633]
['set', 0.00033647375504710633]
['cure', 0.00033647375504710633]
['20', 0.00033647375504710633]
['wish', 0.00033647375504710633]
['play', 0.00033647375504710633]
['carter', 0.00033647375504710633]
['bday', 0.00033647375504710633]
['pulled', 0.00033647375504710633]
['gemstones', 0.00033647375504710633]
['whole', 0.00033647375504710633]
['king', 0.00033647375504710633]
['bragging', 0.00033647375504710633]
['god', 0.00033647375504710633]
['experience', 0.00033647375504710633]
['car', 0.00033647375504710633]
['comes', 0.00033647375504710633]
['ago', 0.00033647375504710633]
['vote', 0.00033647375504710633]
['room', 0.00033647375504710633]
['boruc', 0.00033647375504710633]
['fletcher', 0.00033647375504710633]
['power', 0.00033647375504710633]
['followers', 0.00033647375504710633]
['education', 0.00033647375504710633]
['greatest', 0.00033647375504710633]
['chatoyant', 0.00033647375504710633]
['flight', 0.00033647375504710633]
['fan', 0.00033647375504710633]
['sri', 0.00033647375504710633]
['tablet', 0.00033647375504710633]
['members', 0.00033647375504710633]
['drive', 0.00033647375504710633]
['care', 0.00033647375504710633]
['stands', 0.00033647375504710633]
['gas', 0.00033647375504710633]
['spread', 0.00033647375504710633]
['instagram', 0.00033647375504710633]
['babes', 0.00016823687752355316]
['dier', 0.00016823687752355316]
['kiss', 0.00016823687752355316]
['number', 0.00016823687752355316]
['eff', 0.00016823687752355316]
['ready', 0.00016823687752355316]
['otherwise', 0.00016823687752355316]
['expect', 0.00016823687752355316]
['blessed', 0.00016823687752355316]
['porn', 0.00016823687752355316]
['finally', 0.00016823687752355316]
['browns', 0.00016823687752355316]
['happen', 0.00016823687752355316]
['bring', 0.00016823687752355316]
['traditions', 0.00016823687752355316]
['focus', 0.00016823687752355316]
['boss', 0.00016823687752355316]
['scarf', 0.00016823687752355316]
['devil', 0.00016823687752355316]
['sock', 0.00016823687752355316]
['1st', 0.00016823687752355316]
['dot', 0.00016823687752355316]
['lake', 0.00016823687752355316]
['thruway', 0.00016823687752355316]
['yatch', 0.00016823687752355316]
['preview', 0.00016823687752355316]
['said', 0.00016823687752355316]
['colours', 0.00016823687752355316]
['panini', 0.00016823687752355316]
['fluidity', 0.00016823687752355316]
['hey', 0.00016823687752355316]
['proper', 0.00016823687752355316]
['hdianshisshajb', 0.00016823687752355316]
['mad', 0.00016823687752355316]
['precious', 0.00016823687752355316]
['weston', 0.00016823687752355316]
['backyard', 0.00016823687752355316]
['shaggy', 0.00016823687752355316]
['flat', 0.00016823687752355316]
['adulteration', 0.00016823687752355316]
['forth', 0.00016823687752355316]
['contact', 0.00016823687752355316]
['parlophone', 0.00016823687752355316]
['brightness', 0.00016823687752355316]
['grills', 0.00016823687752355316]
['rofe', 0.00016823687752355316]
['valentines', 0.00016823687752355316]
['closed', 0.00016823687752355316]
['celebrates', 0.00016823687752355316]
['understand', 0.00016823687752355316]
['mother', 0.00016823687752355316]
['uk', 0.00016823687752355316]
['three', 0.00016823687752355316]
['helen', 0.00016823687752355316]
['developer', 0.00016823687752355316]
['50k', 0.00016823687752355316]
['rather', 0.00016823687752355316]
['pulls', 0.00016823687752355316]
['btw', 0.00016823687752355316]
['touching', 0.00016823687752355316]
['sale', 0.00016823687752355316]
['wordpress', 0.00016823687752355316]
['class', 0.00016823687752355316]
['bomb', 0.00016823687752355316]
['shirt', 0.00016823687752355316]
['midst', 0.00016823687752355316]
['cleaner', 0.00016823687752355316]
['heard', 0.00016823687752355316]
['billions', 0.00016823687752355316]
['readings', 0.00016823687752355316]
['cancel', 0.00016823687752355316]
['archive', 0.00016823687752355316]
['bike', 0.00016823687752355316]
['fair', 0.00016823687752355316]
['civilians', 0.00016823687752355316]
['recovery', 0.00016823687752355316]
['tears', 0.00016823687752355316]
['slight', 0.00016823687752355316]
['loans', 0.00016823687752355316]
['sugg', 0.00016823687752355316]
['ramadan', 0.00016823687752355316]
['hahaha', 0.00016823687752355316]
['believing', 0.00016823687752355316]
['puts', 0.00016823687752355316]
['refinery', 0.00016823687752355316]
['giveaway', 0.00016823687752355316]
['nomination', 0.00016823687752355316]
['woke', 0.00016823687752355316]
['tired', 0.00016823687752355316]
['shitted', 0.00016823687752355316]
['loft', 0.00016823687752355316]
['small', 0.00016823687752355316]
['bug', 0.00016823687752355316]
['awesome', 0.00016823687752355316]
['screen', 0.00016823687752355316]
['ubisoft', 0.00016823687752355316]
['gigi', 0.00016823687752355316]
['lituation', 0.00016823687752355316]
['values', 0.00016823687752355316]
['ireland', 0.00016823687752355316]
['exoluxion', 0.00016823687752355316]
['lunch', 0.00016823687752355316]
['groupchat', 0.00016823687752355316]
['win', 0.00016823687752355316]
['commit', 0.00016823687752355316]
['aigbe', 0.00016823687752355316]
['prince', 0.00016823687752355316]
['staring', 0.00016823687752355316]
['ton', 0.00016823687752355316]
['superheroine', 0.00016823687752355316]
['followback', 0.00016823687752355316]
['finds', 0.00016823687752355316]
['also', 0.00016823687752355316]
['helped', 0.00016823687752355316]
['rts', 0.00016823687752355316]
['deconstructed', 0.00016823687752355316]
['structures', 0.00016823687752355316]
['naps', 0.00016823687752355316]
['retweets', 0.00016823687752355316]
['bombs', 0.00016823687752355316]
['sonaram', 0.00016823687752355316]
['racerback', 0.00016823687752355316]
['crush', 0.00016823687752355316]
['fingers', 0.00016823687752355316]
['exfoliate', 0.00016823687752355316]
['ebacc', 0.00016823687752355316]
['logs', 0.00016823687752355316]
['led', 0.00016823687752355316]
['hoes', 0.00016823687752355316]
['anyone', 0.00016823687752355316]
['drew', 0.00016823687752355316]
['process', 0.00016823687752355316]
['band', 0.00016823687752355316]
['tremendous', 0.00016823687752355316]
['downstairs', 0.00016823687752355316]
['classified', 0.00016823687752355316]
['congrats', 0.00016823687752355316]
['mcdo', 0.00016823687752355316]
['agent', 0.00016823687752355316]
['laughing', 0.00016823687752355316]
['fastly', 0.00016823687752355316]
['hating', 0.00016823687752355316]
['84', 0.00016823687752355316]
['requirements', 0.00016823687752355316]
['individual', 0.00016823687752355316]
['carpet', 0.00016823687752355316]
['community', 0.00016823687752355316]
['unearth', 0.00016823687752355316]
['enjoyed', 0.00016823687752355316]
['begin', 0.00016823687752355316]
['drawing', 0.00016823687752355316]
['omg', 0.00016823687752355316]
['optimizations', 0.00016823687752355316]
['production', 0.00016823687752355316]
